"","V1","V2"
"7627","dull","moment"
"7628","duly","noted"
"7629","dumb","ass"
"7630","dumb","shit"
"7631","dumb","bitch"
"7637","dumbest","thing"
"7638","dunk","contest"
"7639","dunkin","donuts"
"7640","dunno","i"
"7641","dwight","howard"
"7642","dye","hair"
"7643","dyed","hair"
"7644","dying","hair"
"7645","dying","know"
"7646","dying","see"
"7649","dynamic","ip"
"7650","e","t"
"7651","e","e"
"7652","e","i"
"7658","each","day"
"7659","each","time"
"7660","each","other"
"7661","ear","infection"
"7662","earlier","today"
"7663","earlier","i"
"7664","earlier","week"
"7668","early","morning"
"7669","early","bird"
"7670","early","i"
"7706","earn","money"
"7707","ears","still"
"7708","earth","day"
"7709","earth","i"
"7710","easier","i"
"7711","easier","get"
"7712","easier","said"
"7714","easiest","way"
"7715","easily","best"
"7716","east","coast"
"7717","east","side"
"7718","east","west"
"7721","easter","everyone"
"7722","easter","bunny"
"7723","easter","egg"
"7734","eastern","conference"
"7735","eastern","time"
"7736","easy","way"
"7737","easy","get"
"7738","easy","i"
"7746","eat","i"
"7747","eat","drink"
"7748","eat","breakfast"
"7779","eating","dinner"
"7780","eating","pizza"
"7781","eating","lunch"
"7791","eau","claire"
"7792","ebook","award"
"7793","economic","development"
"7794","economic","growth"
"7795","ed","sheeran"
"7796","ed","hardy"
"7797","eddie","murphy"
"7798","edgar","allan"
"7799","edge","seat"
"7800","editing","video"
"7801","education","system"
"7802","effective","way"
"7803","effort","get"
"7804","egg","hunt"
"7805","egg","cheese"
"7806","egg","nog"
"7808","eggs","bacon"
"7809","eh","i"
"7810","eight","hours"
"7811","eight","years"
"7812","either","way"
"7813","either","i"
"7814","either","one"
"7822","el","paso"
"7823","el","cajon"
"7824","el","salvador"
"7825","elbert","hubbard"
"7826","eleanor","roosevelt"
"7827","elected","officials"
"7828","election","day"
"7829","elementary","school"
"7830","eli","manning"
"7831","elite","trainer"
"7832","elizabeth","taylor"
"7833","else","i"
"7834","else","will"
"7835","else","can"
"7867","elton","john"
"7868","elvis","presley"
"7869","em","coming"
"7870","em","i"
"7871","em","like"
"7878","email","address"
"7879","email","us"
"7880","email","i"
"7914","emails","i"
"7915","emerald","city"
"7916","emergency","room"
"7917","emily","dickinson"
"7918","emma","stone"
"7919","emotional","tool"
"7920","empire","state"
"7921","empty","seats"
"7922","empty","stomach"
"7923","en","route"
"7924","end","day"
"7925","end","year"
"7926","end","week"
"7967","ends","today"
"7968","ends","tonight"
"7969","ends","tomorrow"
"7970","energy","drink"
"7971","energy","drinks"
"7972","energy","i"
"7973","england","patriots"
"7974","english","language"
"7975","english","class"
"7976","english","teacher"
"7977","enjoy","day"
"7978","enjoy","weekend"
"7979","enjoy","beautiful"
"8017","enjoyed","meeting"
"8018","enjoyed","show"
"8019","enjoyed","time"
"8029","enjoying","day"
"8030","enjoying","beautiful"
"8031","enjoying","new"
"8041","enough","time"
"8042","enough","i"
"8043","enough","get"
"8069","enter","win"
"8070","enter","contest"
"8071","entered","win"
"8072","entered","drawing"
"8073","entertained","read"
"8074","entertainment","industry"
"8075","entire","life"
"8076","entire","day"
"8077","entire","world"
"8084","entry","level"
"8085","ep","release"
"8086","epic","fail"
"8087","epic","i"
"8088","episode","i"
"8089","episode","the"
"8090","episode","tonight"
"8095","equal","rights"
"8096","eric","church"
"8097","ernest","hemingway"
"8098","error","message"
"8099","especially","since"
"8100","especially","i"
"8101","especially","one"
"8106","estate","market"
"8107","et","al"
"8108","etc","etc"
"8109","etc","i"
"8110","etta","james"
"8111","evan","turner"
"8112","eve","everyone"
"8113","even","though"
"8114","even","know"
"8115","even","better"
"8219","evening","i"
"8220","evening","pm"
"8221","evening","news"
"8222","event","tonight"
"8223","event","last"
"8224","event","today"
"8242","events","i"
"8243","events","today"
"8244","events","happening"
"8246","eventually","get"
"8247","eventually","will"
"8248","ever","seen"
"8249","ever","get"
"8250","ever","i"
"8354","every","time"
"8355","every","day"
"8356","every","single"
"8427","everybody","else"
"8428","everybody","follow"
"8429","everybody","knows"
"8442","everyday","i"
"8443","everyday","im"
"8444","everyday","life"
"8448","everyone","else"
"8449","everyone","great"
"8450","everyone","came"
"8569","everyones","weekend"
"8570","everyones","day"
"8571","everyones","favorite"
"8572","everything","i"
"8573","everything","else"
"8574","everything","going"
"8621","everytime","i"
"8622","everytime","im"
"8623","everytime","see"
"8624","everywhere","i"
"8625","everywhere","go"
"8626","everywhere","else"
"8627","ew","i"
"8628","ex","girlfriend"
"8629","exact","thing"
"8630","exact","opposite"
"8631","exactly","i"
"8632","exactly","like"
"8633","exactly","rt"
"8641","exam","tomorrow"
"8642","exam","today"
"8643","excellence","act"
"8644","excellent","point"
"8645","excellent","job"
"8646","excellent","thanks"
"8653","except","i"
"8654","except","one"
"8655","except","im"
"8656","excited","see"
"8657","excited","i"
"8658","excited","new"
"8713","exciting","news"
"8714","exciting","things"
"8715","exciting","new"
"8723","exclamation","points"
"8724","excuse","i"
"8725","excuse","im"
"8726","excuse","get"
"8727","executive","director"
"8728","exercise","diary"
"8729","exhausted","i"
"8730","exhibit","hall"
"8731","exist","i"
"8732","exist","anymore"
"8733","expect","see"
"8734","expect","get"
"8735","expect","anything"
"8738","expecting","different"
"8739","experience","i"
"8740","experience","ever"
"8741","experience","life"
"8742","explain","i"
"8743","explain","im"
"8744","explains","lot"
"8745","explode","overjoyness"
"8746","express","offers"
"8747","express","lube"
"8748","extra","day"
"8749","extra","innings"
"8750","extra","time"
"8760","extremely","happy"
"8761","extremely","loud"
"8762","eye","contact"
"8763","eye","candy"
"8764","eye","doctor"
"8769","eyed","peas"
"8770","eyes","open"
"8771","eyes","i"
"8772","eyes","peeled"
"8778","f","u"
"8779","f","kennedy"
"8780","f","fair"
"8783","fa","sho"
"8784","fa","cup"
"8785","fa","real"
"8786","fabulous","day"
"8787","fabulous","weekend"
"8788","face","i"
"8789","face","face"
"8790","face","like"
"8799","facebook","page"
"8800","facebook","twitter"
"8801","facebook","i"
"8826","faces","i"
"8827","facial","hair"
"8828","facial","expressions"
"8829","fact","i"
"8830","fact","day"
"8831","fact","im"
"8836","factsaboutme","i"
"8837","faculty","staff"
"8838","fade","away"
"8839","faded","faded"
"8840","fail","i"
"8841","failure","failure"
"8842","fair","enough"
"8843","fair","i"
"8844","fair","use"
"8852","fairly","certain"
"8853","fairy","tales"
"8854","fairy","tale"
"8855","faith","god"
"8856","faith","will"
"8857","fake","people"
"8858","fake","ass"
"8859","fake","friends"
"8862","fall","asleep"
"8863","fall","love"
"8864","fall","back"
"8872","fallen","love"
"8873","falling","asleep"
"8874","falling","love"
"8875","falling","apart"
"8876","falls","asleep"
"8877","false","alarm"
"8878","fam","i"
"8879","fam","im"
"8880","familiar","faces"
"8881","family","friends"
"8882","family","i"
"8883","family","guy"
"8910","famous","people"
"8911","famous","comic"
"8912","famous","i"
"8914","fan","i"
"8915","fan","page"
"8916","fan","base"
"8937","fancy","huh"
"8938","fanny","pak"
"8939","fanny","pack"
"8940","fans","will"
"8941","fans","i"
"8942","fans","can"
"8966","fantastic","day"
"8967","fantastic","weekend"
"8968","fantastic","i"
"8974","fantasy","football"
"8975","fantasy","baseball"
"8976","fantasy","team"
"8978","far","away"
"8979","far","i"
"8980","far","good"
"9007","farmers","market"
"9008","farmers","markets"
"9009","fashion","show"
"9010","fashion","week"
"9011","fashion","sense"
"9012","fast","food"
"9013","fast","enough"
"9014","fast","i"
"9021","faster","i"
"9022","fastest","growing"
"9023","fat","ass"
"9024","fat","tuesday"
"9025","fat","kid"
"9032","father","i"
"9033","father","son"
"9034","fathers","day"
"9035","fault","i"
"9036","fav","song"
"9037","fav","show"
"9038","fav","part"
"9039","favor","follow"
"9040","favorite","song"
"9041","favorite","part"
"9042","favorite","thing"
"9090","fb","page"
"9091","fb","twitter"
"9092","fb","i"
"9096","fear","i"
"9097","fear","failure"
"9098","fear","fear"
"9101","feature","film"
"9102","feb","th"
"9103","feb","pm"
"9104","february","th"
"9105","federal","government"
"9106","feed","i"
"9107","feed","back"
"9108","feedback","i"
"9109","feel","like"
"9110","feel","better"
"9111","feel","bad"
"9174","feelin","like"
"9175","feelin","good"
"9176","feeling","like"
"9177","feeling","better"
"9178","feeling","good"
"9206","feelings","i"
"9207","feelings","hurt"
"9208","feels","like"
"9209","feels","good"
"9210","feels","great"
"9218","feet","away"
"9219","feet","hurt"
"9220","feet","i"
"9223","fell","asleep"
"9224","fell","love"
"9225","fell","apart"
"9227","fellow","tweeters"
"9228","fells","point"
"9229","felt","like"
"9230","felt","good"
"9231","felt","way"
"9235","fenway","park"
"9236","ferris","bueller"
"9237","festival","weekend"
"9238","festival","today"
"9239","few","things"
"9240","ff","love"
"9241","ff","mention"
"9242","ff","thanks"
"9262","field","trip"
"9263","field","goal"
"9264","field","day"
"9267","fifty","shades"
"9268","fight","i"
"9269","fight","tonight"
"9270","fight","night"
"9277","fighting","good"
"9278","figure","i"
"9279","figure","get"
"9280","figure","something"
"9284","figured","i"
"9285","figured","id"
"9286","fill","blank"
"9287","filled","love"
"9288","filled","w"
"9289","filling","fast"
"9290","film","festival"
"9291","film","i"
"9292","film","fest"
"9297","final","four"
"9298","final","score"
"9299","final","day"
"9317","finale","tonight"
"9318","finally","got"
"9319","finally","get"
"9320","finally","getting"
"9361","finals","week"
"9362","finals","i"
"9363","finals","today"
"9365","financial","aid"
"9366","financial","crisis"
"9367","financial","services"
"9368","find","way"
"9369","find","someone"
"9370","find","something"
"9425","finding","new"
"9426","finding","good"
"9427","finding","someone"
"9429","fine","i"
"9430","fine","just"
"9431","fine","line"
"9444","fingers","crossed"
"9445","fingers","toes"
"9446","finish","line"
"9447","finish","last"
"9448","finish","strong"
"9456","finished","mi"
"9457","finished","watching"
"9458","finished","reading"
"9474","finishing","touches"
"9475","finishing","last"
"9476","finna","go"
"9477","finna","get"
"9478","fire","alarm"
"9479","fire","i"
"9480","fire","dept"
"9488","firehook","bakery"
"9489","firm","foundation"
"9490","firm","believer"
"9491","first","time"
"9492","first","day"
"9493","first","thing"
"9620","fish","fry"
"9621","fish","tacos"
"9622","fish","chips"
"9624","fist","pump"
"9625","fit","right"
"9626","five","minutes"
"9627","five","years"
"9628","five","days"
"9635","fix","problem"
"9636","fixed","now"
"9637","fixed","i"
"9638","flag","football"
"9639","flaming","lips"
"9640","flash","mob"
"9641","flash","drive"
"9642","flat","tire"
"9643","flat","screen"
"9644","flea","market"
"9645","fleetwood","mac"
"9646","flight","back"
"9647","flight","attendant"
"9648","flight","delayed"
"9651","flip","flops"
"9652","flip","side"
"9653","flip","flop"
"9656","flo","rida"
"9657","floating","around"
"9658","floor","i"
"9659","florence","machine"
"9660","florence","the"
"9661","florida","state"
"9662","florida","i"
"9663","floyd","mayweather"
"9664","fly","away"
"9665","fly","i"
"9666","fly","back"
"9668","flying","around"
"9669","flying","back"
"9670","fml","i"
"9671","fo","sho"
"9672","focus","group"
"9673","fog","morning"
"9674","foie","gras"
"9675","folks","i"
"9676","folks","just"
"9677","folks","like"
"9682","follow","back"
"9683","follow","us"
"9684","follow","me"
"9837","followed","back"
"9838","followed","follow"
"9839","followed","i"
"9849","follower","will"
"9850","follower","i"
"9851","follower","thanks"
"9852","followers","i"
"9853","followers","thanks"
"9854","followers","follow"
"9892","following","us"
"9893","following","back"
"9894","following","i"
"9936","followmecody","make"
"9937","follows","back"
"9938","follows","i"
"9939","follows","us"
"9940","fond","memories"
"9941","foo","fighters"
"9942","food","truck"
"9943","food","i"
"9944","food","trucks"
"9985","foods","i"
"9986","fool","can"
"9987","fool","twice"
"9988","fools","day"
"9989","fools","joke"
"9990","football","game"
"9991","football","team"
"9992","football","season"
"9999","for","the"
"10000","for","a"
"10001","for","sure"
"10048","foreign","language"
"10049","foreign","policy"
"10050","forever","i"
"10051","forever","alone"
"10052","forever","always"
"10060","forget","i"
"10061","forget","follow"
"10062","forget","check"
"10080","forgive","i"
"10081","forgive","forget"
"10082","forgot","i"
"10083","forgot","mention"
"10084","forgot","much"
"10094","fort","worth"
"10095","fort","wayne"
"10096","fort","lauderdale"
"10097","fortune","cookie"
"10098","fortune","cookies"
"10099","forward","seeing"
"10100","forward","meeting"
"10101","forward","tweets"
"10148","foster","care"
"10149","foul","ball"
"10150","found","i"
"10151","found","new"
"10152","found","one"
"10169","foundation","bricks"
"10170","founders","day"
"10171","four","days"
"10172","four","years"
"10173","four","hours"
"10182","fourth","july"
"10183","fourth","quarter"
"10184","fox","news"
"10185","fox","sports"
"10186","francisco","chronicle"
"10187","frank","ocean"
"10188","frank","sinatra"
"10189","franklin","d"
"10190","freakin","love"
"10191","freakin","awesome"
"10192","freaking","love"
"10193","freaking","awesome"
"10194","freaking","amazing"
"10197","free","food"
"10198","free","throws"
"10199","free","tickets"
"10292","freedom","speech"
"10293","freezing","cold"
"10294","french","toast"
"10295","french","fries"
"10296","french","quarter"
"10301","fresh","air"
"10302","fresh","prince"
"10303","fresh","new"
"10308","freshman","year"
"10309","fri","sat"
"10310","fri","night"
"10311","fri","pm"
"10313","friday","night"
"10314","friday","th"
"10315","friday","i"
"10366","fridayreads","the"
"10367","fried","chicken"
"10368","fried","rice"
"10369","fried","egg"
"10370","friedrich","nietzsche"
"10371","friend","i"
"10372","friend","mine"
"10373","friend","just"
"10417","friendly","reminder"
"10418","friends","family"
"10419","friends","i"
"10420","friends","like"
"10496","from","the"
"10497","from","now"
"10498","from","i"
"10504","front","row"
"10505","front","page"
"10506","front","door"
"10519","frozen","yogurt"
"10520","frozen","pizza"
"10521","fruit","salad"
"10522","fruit","snacks"
"10523","fruits","veggies"
"10524","fruits","vegetables"
"10525","fruity","pebbles"
"10526","ft","lauderdale"
"10527","ft","worth"
"10528","ft","away"
"10529","fuck","i"
"10530","fuck","im"
"10531","fuck","u"
"10569","fucked","up"
"10570","fucked","i"
"10571","fuckin","wit"
"10572","fuckin","love"
"10573","fuckin","hate"
"10574","fucking","hate"
"10575","fucking","love"
"10576","fucking","awesome"
"10600","fucks","wit"
"10601","full","time"
"10602","full","day"
"10603","full","moon"
"10634","fulltime","job"
"10635","fun","i"
"10636","fun","day"
"10637","fun","fact"
"10720","funniest","thing"
"10721","funny","i"
"10722","funny","thing"
"10723","funny","people"
"10755","furniture","sale"
"10756","future","i"
"10757","future","will"
"10758","future","husband"
"10764","fwd","seeing"
"10765","fyi","i"
"10766","g","certified"
"10767","g","i"
"10768","gah","i"
"10769","gain","followers"
"10770","gain","weight"
"10771","gal","cathyllogan"
"10772","galaxy","s"
"10773","gallery","night"
"10774","game","tonight"
"10775","game","i"
"10776","game","today"
"10899","games","i"
"10900","games","like"
"10901","games","tonight"
"10920","garage","sale"
"10921","garage","door"
"10922","garbage","can"
"10923","garden","state"
"10924","garden","show"
"10925","garlic","bread"
"10926","gas","station"
"10927","gas","prices"
"10928","gas","tank"
"10931","gave","us"
"10932","gave","away"
"10933","gave","birth"
"10940","gay","marriage"
"10941","gay","people"
"10942","gay","i"
"10948","gee","thanks"
"10949","geez","i"
"10950","gen","x"
"10951","general","public"
"10952","general","election"
"10953","general","hookers"
"10954","genius","i"
"10955","george","zimmerman"
"10956","george","bernard"
"10957","george","clooney"
"10963","georgia","tech"
"10964","get","back"
"10965","get","ready"
"10966","get","better"
"11509","gets","better"
"11510","gets","old"
"11511","gets","back"
"11538","gettin","ready"
"11539","gettin","money"
"11540","getting","ready"
"11541","getting","back"
"11542","getting","better"
"11650","gf","i"
"11651","ghetto","ass"
"11652","ghost","town"
"11653","ghost","adventures"
"11654","ghost","hunters"
"11655","giants","win"
"11656","giants","game"
"11657","giddy","up"
"11658","gift","card"
"11659","gift","cards"
"11660","gift","certificate"
"11668","gig","tonight"
"11669","ginger","ale"
"11670","girl","i"
"11671","girl","im"
"11672","girl","just"
"11738","girlfriend","i"
"11739","girlfriend","just"
"11740","girls","i"
"11741","girls","night"
"11742","girls","like"
"11772","give","us"
"11773","give","away"
"11774","give","fuck"
"11855","given","us"
"11856","given","much"
"11857","given","away"
"11859","gives","us"
"11860","gives","u"
"11861","gives","strength"
"11869","giving","away"
"11870","giving","us"
"11871","giving","free"
"11880","glad","i"
"11881","glad","hear"
"11882","glad","see"
"11937","glass","wine"
"11938","glass","water"
"11939","glass","half"
"11941","glasses","i"
"11942","glasses","wine"
"11943","glee","tonight"
"11944","glen","campbell"
"11945","glenn","beck"
"11946","global","warming"
"11947","gloomy","day"
"11948","glorious","day"
"11949","glory","god"
"11950","glory","days"
"11951","glow","dark"
"11952","gluten","free"
"11953","gmail","account"
"11954","go","back"
"11955","go","home"
"11956","go","get"
"12263","goal","get"
"12264","goal","life"
"12265","goal","today"
"12269","goat","cheese"
"12270","gobble","gobble"
"12271","god","bless"
"12272","god","i"
"12273","god","good"
"12336","gods","love"
"12337","gods","word"
"12338","gods","gift"
"12341","goes","well"
"12342","goes","i"
"12343","goes","away"
"12361","goin","sleep"
"12362","goin","bed"
"12363","goin","back"
"12372","going","get"
"12373","going","see"
"12374","going","back"
"12625","gold","star"
"12626","gold","medal"
"12627","gold","coast"
"12628","golden","globes"
"12629","golden","girls"
"12630","golden","rule"
"12634","golf","course"
"12635","golf","tournament"
"12636","golf","club"
"12638","gon","get"
"12639","gon","make"
"12640","gone","i"
"12641","gone","get"
"12642","gone","far"
"12657","gonna","get"
"12658","gonna","go"
"12659","gonna","make"
"12770","good","morning"
"12771","good","luck"
"12772","good","day"
"13112","goodmorning","everyone"
"13113","goodness","i"
"13114","goodnight","twitter"
"13115","goodnight","everyone"
"13116","goodnight","world"
"13123","google","search"
"13124","google","maps"
"13125","google","docs"
"13142","gop","primary"
"13143","gop","candidates"
"13144","gop","debate"
"13145","gorgeous","day"
"13146","gorgeous","i"
"13147","gorgeous","weather"
"13149","gosh","i"
"13150","gosh","im"
"13151","gossip","girl"
"13152","got","new"
"13153","got","back"
"13154","got","home"
"13443","gotcha","i"
"13444","gotta","get"
"13445","gotta","love"
"13446","gotta","go"
"13494","gov","walker"
"13495","gov","scott"
"13496","gr","day"
"13497","grab","coffee"
"13498","grab","lunch"
"13499","grab","beer"
"13503","grad","school"
"13504","grad","students"
"13505","grad","student"
"13507","grade","i"
"13508","grade","school"
"13509","grade","teacher"
"13510","graduate","school"
"13511","graduate","students"
"13512","graduates","today"
"13513","graduating","today"
"13514","graduating","class"
"13515","graduating","college"
"13516","graduation","party"
"13517","graduation","ceremony"
"13518","graduation","i"
"13519","grand","opening"
"13520","grand","slam"
"13521","grand","prize"
"13528","grandmas","house"
"13529","granola","bars"
"13530","grape","juice"
"13531","graphic","design"
"13532","graphic","designer"
"13533","graphic","novel"
"13535","grateful","i"
"13536","grateful","dead"
"13537","gray","rainbow"
"13538","gray","hair"
"13539","great","day"
"13540","great","time"
"13541","great","weekend"
"13882","greater","good"
"13883","greatest","thing"
"13884","greatest","gift"
"13885","greatest","hits"
"13887","greatly","appreciated"
"13888","greatly","appreciate"
"13889","greek","yogurt"
"13890","green","bay"
"13891","green","tea"
"13892","green","beans"
"13904","grey","goose"
"13905","greyhound","racing"
"13906","greys","anatomy"
"13907","grilled","cheese"
"13908","grilled","chicken"
"13909","grind","hard"
"13910","grind","time"
"13911","grocery","store"
"13912","grocery","shopping"
"13913","grocery","stores"
"13914","gross","i"
"13915","groucho","marx"
"13916","ground","beef"
"13917","ground","zero"
"13918","groundhog","day"
"13919","group","people"
"13920","group","i"
"13921","group","friends"
"13924","grow","old"
"13925","grow","i"
"13926","grow","up"
"13931","growing","fast"
"13932","growing","pains"
"13933","grown","man"
"13934","grown","ass"
"13935","grown","men"
"13938","gtky","question"
"13939","guarantee","monday"
"13940","guard","’"
"13941","gucci","mane"
"13942","guess","i"
"13943","guess","im"
"13944","guess","ill"
"13973","guest","list"
"13974","guest","speaker"
"13975","guest","post"
"13979","guide","now"
"13980","guilty","pleasure"
"13981","guinea","pig"
"13982","guitar","player"
"13983","guitar","center"
"13984","guitar","hero"
"13986","gulf","coast"
"13987","gummy","bears"
"13988","gunna","get"
"13989","gunna","go"
"13990","guns","n"
"13991","gus","johnson"
"13992","gut","feeling"
"13993","guy","i"
"13994","guy","just"
"13995","guy","like"
"14036","guys","i"
"14037","guys","like"
"14038","guys","rock"
"14130","gym","time"
"14131","gym","i"
"14132","gym","today"
"14138","ha","ha"
"14139","ha","i"
"14140","ha","rt"
"14168","habit","aristotle"
"14169","hacked","i"
"14170","hacked","sorry"
"14171","hacked","twitter"
"14172","had","great"
"14173","had","fun"
"14174","had","good"
"14193","hah","i"
"14194","haha","i"
"14195","haha","im"
"14196","haha","yeah"
"14285","hahah","i"
"14286","hahah","love"
"14287","hahah","like"
"14289","hahaha","i"
"14290","hahaha","im"
"14291","hahaha","yeah"
"14308","hahahah","i"
"14309","hahahaha","i"
"14310","hahahaha","im"
"14311","hahahahaha","i"
"14312","hail","mary"
"14313","hair","cut"
"14314","hair","done"
"14315","hair","i"
"14341","half","hour"
"14342","half","time"
"14343","half","way"
"14360","halftime","show"
"14361","halfway","done"
"14362","hall","fame"
"14363","hall","b"
"14364","hall","famer"
"14368","halloween","costume"
"14369","halloween","weekend"
"14370","halloween","party"
"14374","hand","i"
"14375","hand","hand"
"14376","hand","sanitizer"
"14377","hands","i"
"14378","hands","best"
"14379","hands","air"
"14382","hang","soon"
"14383","hang","us"
"14384","hang","around"
"14390","hanging","w"
"14391","hanging","around"
"14392","hanging","friends"
"14394","hannah","montana"
"14395","happen","i"
"14396","happen","today"
"14397","happen","lol"
"14409","happened","i"
"14410","happened","last"
"14411","happened","today"
"14415","happening","now"
"14416","happening","right"
"14417","happening","today"
"14420","happens","i"
"14421","happens","reason"
"14422","happens","time"
"14429","happiest","girl"
"14430","happiest","person"
"14431","happily","ever"
"14432","happiness","happiness"
"14433","happy","birthday"
"14434","happy","mothers"
"14435","happy","new"
"14568","harass","harass"
"14569","hard","work"
"14570","hard","get"
"14571","hard","time"
"14625","harder","i"
"14626","harder","get"
"14627","hardest","thing"
"14628","hardest","part"
"14629","hardest","things"
"14631","hardly","ever"
"14632","hardly","wait"
"14633","hardware","store"
"14634","harry","potter"
"14635","harry","styles"
"14636","has","anyone"
"14637","has","a"
"14638","has","been"
"14639","hash","tag"
"14640","hash","tags"
"14641","hash","browns"
"14642","hat","trick"
"14643","hat","i"
"14644","hate","people"
"14645","hate","i"
"14646","hate","im"
"14709","haters","gonna"
"14710","haters","i"
"14711","haters","hate"
"14712","haunted","house"
"14713","have","great"
"14714","have","fun"
"14715","have","good"
"14762","havent","seen"
"14763","havent","heard"
"14764","havent","talked"
"14773","havin","fun"
"14774","having","great"
"14775","having","fun"
"14776","having","good"
"14785","hawks","game"
"14786","hawks","win"
"14787","he","said"
"14788","he","will"
"14789","he","just"
"14856","head","i"
"14857","head","coach"
"14858","head","back"
"14887","headache","i"
"14888","headed","back"
"14889","headed","home"
"14890","headed","way"
"14892","heading","back"
"14893","heading","home"
"14894","heading","bed"
"14901","heads","i"
"14902","health","care"
"14903","health","insurance"
"14904","health","fitness"
"14911","healthy","eating"
"14912","healthy","food"
"14913","healthy","happy"
"14916","hear","i"
"14917","hear","ya"
"14918","hear","new"
"14973","heard","good"
"14974","heard","great"
"14975","heard","one"
"15004","hearing","great"
"15005","hearing","speak"
"15006","hearing","good"
"15008","heart","attack"
"15009","heart","i"
"15010","heart","broken"
"15032","heat","game"
"15033","heat","fans"
"15034","heat","win"
"15042","heath","bell"
"15043","heaven","earth"
"15044","heaven","i"
"15045","heaven","hell"
"15046","heavy","rain"
"15047","heavy","d"
"15048","heavy","metal"
"15049","heck","yeah"
"15050","heck","yes"
"15051","heck","i"
"15054","hee","hee"
"15055","heh","i"
"15056","heh","heh"
"15057","hehe","i"
"15058","hehe","im"
"15059","helen","keller"
"15060","helen","hayes"
"15061","hell","yeah"
"15062","hell","yea"
"15063","hell","i"
"15087","hello","everyone"
"15088","hello","i"
"15089","hello","world"
"15108","help","us"
"15109","help","get"
"15110","help","i"
"15175","helped","us"
"15176","helped","make"
"15177","helped","get"
"15179","helping","us"
"15180","helping","spread"
"15181","helping","people"
"15187","helps","us"
"15188","helps","keep"
"15189","henry","david"
"15190","henry","ford"
"15191","henry","ward"
"15192","her","name"
"15193","her","i"
"15194","her","she"
"15195","here","go"
"15196","here","i"
"15197","here","comes"
"15203","heres","hoping"
"15204","heres","great"
"15205","heres","another"
"15206","herman","cain"
"15207","hes","just"
"15208","hes","got"
"15209","hes","good"
"15231","hey","i"
"15232","hey","thanks"
"15233","hey","guys"
"15340","hi","i"
"15341","hi","im"
"15342","hi","thanks"
"15364","hide","behind"
"15365","hide","seek"
"15366","hiding","behind"
"15367","high","school"
"15368","high","five"
"15369","high","quality"
"15392","higher","ed"
"15393","higher","education"
"15394","higher","level"
"15395","highest","level"
"15396","highland","park"
"15397","highlight","day"
"15398","highlight","tapes"
"15399","highly","recommend"
"15400","highly","recommended"
"15401","highly","doubt"
"15402","hilarious","i"
"15403","hilarious","rt"
"15404","hillary","clinton"
"15405","hillerhelps","in"
"15406","hilltop","twitter"
"15407","hilton","head"
"15408","him","i"
"15409","him","to"
"15410","him","he"
"15411","hint","hint"
"15412","hip","hop"
"15413","hire","someone"
"15414","his","name"
"15415","his","love"
"15416","his","voice"
"15417","historical","society"
"15418","history","month"
"15419","history","channel"
"15420","history","museum"
"15430","hit","us"
"15431","hit","u"
"15432","hit","gym"
"15476","hitting","gym"
"15477","hitting","road"
"15478","hm","i"
"15479","hm","maybe"
"15480","hmm","i"
"15481","hmm","maybe"
"15482","hmm","im"
"15483","ho","ho"
"15484","hockey","game"
"15485","hockey","team"
"15486","hockey","games"
"15489","hoe","i"
"15490","hold","back"
"15491","hold","i"
"15492","hold","breath"
"15501","holding","back"
"15502","holding","hands"
"15503","holding","like"
"15506","hole","wall"
"15507","holiday","season"
"15508","holiday","weekend"
"15509","holiday","party"
"15515","holidays","everyone"
"15516","holla","back"
"15517","hollywood","body"
"15518","holy","shit"
"15519","holy","crap"
"15520","holy","cow"
"15527","home","i"
"15528","home","work"
"15529","home","run"
"15622","homeless","people"
"15623","homeless","man"
"15624","homeless","guy"
"15626","homer","simpson"
"15627","homework","i"
"15628","homework","done"
"15629","homework","now"
"15630","homie","i"
"15631","honda","civic"
"15632","honest","i"
"15633","honest","im"
"15634","honestly","i"
"15635","honestly","think"
"15636","honestly","say"
"15642","honey","badger"
"15643","honey","i"
"15644","hong","kong"
"15645","honored","part"
"15646","hookers","gal"
"15647","hop","dance"
"15648","hope","see"
"15649","hope","well"
"15650","hope","everyone"
"15773","hopefully","i"
"15774","hopefully","will"
"15775","hopefully","can"
"15786","hopes","dreams"
"15787","hoping","get"
"15788","hoping","i"
"15789","hoping","will"
"15800","horrible","bosses"
"15801","horrible","i"
"15802","horrible","day"
"15804","horror","movie"
"15805","horror","movies"
"15806","horror","story"
"15808","horse","racing"
"15809","hospital","i"
"15810","hospitality","suite"
"15811","hosted","by"
"15812","hosting","us"
"15813","hot","dog"
"15814","hot","dogs"
"15815","hot","chocolate"
"15860","hotel","room"
"15861","hottest","hip"
"15862","hottest","new"
"15863","hour","half"
"15864","hour","i"
"15865","hour","ago"
"15899","hours","sleep"
"15900","hours","i"
"15901","hours","ago"
"15931","house","i"
"15932","house","tonight"
"15933","house","party"
"15970","houston","tx"
"15971","houston","i"
"15972","houston","texas"
"15975","how","many"
"15976","how","i"
"15977","how","can"
"16057","howard","stern"
"16058","however","i"
"16059","however","im"
"16060","hows","going"
"16061","hows","life"
"16062","hows","everyone"
"16068","hr","drive"
"16069","hrs","sleep"
"16070","hrs","i"
"16071","hubby","i"
"16072","huffington","post"
"16073","huge","fan"
"16074","huge","thanks"
"16075","huge","success"
"16085","hugs","kisses"
"16086","hugs","back"
"16087","huh","i"
"16088","huh","lol"
"16089","hulk","hogan"
